,Neighborhood,Population,Total private dwellings,Population density per square kilometre,Crime Cases,COVID Cases,latitude,longitude,Crime Rate,COVID Rate,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue,Count
41,Flemingdon Park,21933.0,7964.0,9026.0,192.0,1268.0,43.7184315,-79.333204,0.021271881231996456,0.14048304896964325,Japanese Restaurant,Sandwich Place,Playground,Coffee Shop,Intersection,Middle Eastern Restaurant,Gym,Grocery Store,Theme Park Ride / Attraction,Pakistani Restaurant,36
42,Forest Hill North,12806.0,5784.0,8054.0,124.0,380.0,43.6935586,-79.4139023,0.01539607648373479,0.04718152470821952,Skating Rink,Café,Bank,Trail,Grocery Store,Mediterranean Restaurant,Bookstore,Coffee Shop,Park,Bakery,27
43,Forest Hill South,10732.0,5353.0,4380.0,101.0,142.0,43.6935586,-79.4139023,0.023059360730593607,0.032420091324200914,Skating Rink,Café,Bank,Trail,Grocery Store,Mediterranean Restaurant,Bookstore,Coffee Shop,Park,Bakery,27
44,Glenfield,30491.0,10423.0,5864.0,532.0,2371.0,43.7068461,-79.3043334,0.09072305593451568,0.40433151432469305,Intersection,Coffee Shop,Fast Food Restaurant,Pizza Place,Grocery Store,Bakery,Bank,Chinese Restaurant,Gym / Fitness Center,Mexican Restaurant,28
45,Greenwood,14417.0,6443.0,8582.0,217.0,277.0,43.68253285,-79.33024260293422,0.02528548123980424,0.0322768585411326,Café,Coffee Shop,Gastropub,Pizza Place,Park,Ethiopian Restaurant,Thai Restaurant,Sandwich Place,Beer Bar,Bar,67
48,High Park North,22162.0,11541.0,11726.0,197.0,330.0,43.6573833,-79.470961,0.016800272897833875,0.028142589118198873,Coffee Shop,Café,Bakery,Pizza Place,Bar,Italian Restaurant,Thai Restaurant,Grocery Store,Convenience Store,Park,92
49,High Park-Swansea,23925.0,11526.0,4893.0,246.0,492.0,43.638093,-79.4665843,0.05027590435315757,0.10055180870631514,Park,Scenic Lookout,Gas Station,Amphitheater,Café,Light Rail Station,Harbor / Marina,Basketball Court,Beach,Outdoors & Recreation,35
51,Hillcrest Village,16934.0,6642.0,3148.0,155.0,370.0,43.6816953,-79.4257118,0.04923761118170267,0.11753494282083862,Bakery,Restaurant,Ice Cream Shop,Coffee Shop,Indian Restaurant,Italian Restaurant,Mexican Restaurant,Pizza Place,Park,Bank,72
52,Humber Heights-Westmount,10948.0,4261.0,3981.0,81.0,514.0,43.6977767,-79.5212217,0.020346646571213264,0.12911328811856318,Pizza Place,Sandwich Place,Train Station,Coffee Shop,Fried Chicken Joint,Gas Station,Skating Rink,Café,Park,Middle Eastern Restaurant,22
54,Humewood-Cedarvale,14365.0,6865.0,7682.0,102.0,290.0,43.6883215,-79.4280805,0.01327779224160375,0.037750585784951836,Coffee Shop,Pizza Place,Sushi Restaurant,Italian Restaurant,Indian Restaurant,Restaurant,Mexican Restaurant,BBQ Joint,Bakery,Bank,68
55,Ionview,13641.0,5312.0,7031.0,119.0,367.0,43.7359904,-79.2765146,0.016925046223865738,0.0521974114635187,Chinese Restaurant,Bank,Furniture / Home Store,Turkish Restaurant,Gym,Baseball Field,Grocery Store,Paper / Office Supplies Store,Greek Restaurant,Coffee Shop,20
